how's your mother?	hur mår din mor?
i am on the internet.	jag är på nätet.
they don't always obey their parents.	de lyder inte alltid sina föräldrar.
in those days, few people could travel abroad.	på den tiden var det få som kunde resa utomlands.
do you have many friends?	har ni många vänner?
i thought tom would stay a little longer.	jag trodde att tom skulle stanna lite längre.
i heard it from a reliable source.	jag hörde det från en tillförlitlig källa.
roll up your right sleeve.	kavla upp din högerärm.
my sister likes to dance.	min syster tycker om att dansa.
that was only a year ago.	det var bara ett år sedan.
they do that to everyone.	de gör så åt alla.
how long will it take to get well?	hur långt kommer det att ta för att bli återställd?
i'm not younger than tom.	jag är inte yngre än tom.
you can't get away.	du kan inte komma undan.
i think that what tom said was correct.	jag tror att tom hade rätt.
my mom baked cookies for me.	min mamma bakade kakor åt mig.
the water is deepest here.	vattnet är som djupast här.
don't look out the window.	titta inte ut genom fönstret.
his health is getting poorer and poorer.	hans hälsa blir sämre och sämre.
she cut down a tree.	hon fällde ett träd.
i want her here.	jag vill ha henne här.
i'm from brazil.	jag kommer från brasilien.
did you buy a new car?	köpte du en ny bil?
tom knew the risks.	tom var medveten om riskerna.
his boss is very demanding.	hans chef är väldigt krävande.
we buy swedish food almost every time we go to ikea.	vi köper svensk mat nästan varje gång vi åker till ikea.
leave the room!	lämna rummet!
nobody was injured.	ingen blev skadad.
i get motion sickness.	jag får åksjuka.
i did it for the first time.	det gjorde jag för första gången.
what is better than one bowl of popcorn and one of ice cream?	vad är bättre än en skål med popcorn och en med glass.
who are you?	vem är du?
i was hungry.	jag var hungrig.
i saw what you did.	jag såg vad du gjorde.
he bought it at the store.	han köpte det i butiken.
i beat tom to death.	jag slog ihjäl tom.
i love talking to you.	jag älskar att prata med er.
is she healthy?	är hon frisk?
do you have them?	har du dem?
i gave it a shot.	jag gav det ett försök.
i met nobody on my way home.	jag träffade ingen på vägen hem.
you're a beautiful girl.	du är en vacker tjej.
could you drop me off at the library?	kan du släppa av mig vid biblioteket?
this book is heavy.	den här boken är tung.
what do you do?	vad arbetar du med?
i'm in boston right now.	jag är i boston just nu.
could i ask why?	får jag fråga varför?
tom is still up.	tom är fortfarande uppe.
you can't save everyone.	du kan inte rädda alla.
the spruce returns.	granen återvänder.
go ask your father.	gå och fråga din far.
my name isn't important.	mitt namn är inte viktigt.
keep talking.	fortsätt tala.
you know the rules.	du kan reglerna.
water power turns the wheel.	vattenkraft roterar hjulet.
the cost of the trip without a discount is two thousand euros.	färdens kostnad utan rabatt är två tusen euro.
how's school?	hur går det på skolan?
i'm in a bad mood.	jag är på dåligt humör.
what are you going to do, arrest me?	vad tänker du göra, arrestera mig?
are you going out?	ska du ut?
we're both a lot older now.	vi är båda mycket äldre nu.
water, please.	vatten, tack.
he closed his eyes.	han blundade.
i never touched tom.	jag rörde aldrig tom.
what is your favourite swear word?	vilken är din favoritsvordom?
she's being serious.	hon har en vass tunga.
god created the earth in six days.	gud skapade jorden på sex dagar.
we can talk to tom.	vi kan tala med tom.
he's very rude.	han är väldigt oförskämd.
tom is chatty.	tom är pratsam.
i know tom is a lot shorter than me.	jag vet att tom är mycket kortare än jag.
how did you celebrate new year's eve?	hur firade ni nyårsafton?
we're expecting a lot of people to attend the ceremony.	vi väntar oss många besökare till ceremonin.
today, i do not have time for this.	i dag har jag inte tid för det här.
tom didn't recognize the truck driver.	tom kände inte igen lastbilsföraren.
tom is never in a hurry, is he?	tom har aldrig bråttom, eller hur?
i had to hide.	jag var tvungen att gömma mig.
he is eighteen months old.	han är arton månader gammal.
what's in there?	vad finns på insidan?
do you know how it's spelled?	vet du hur det stavas?
i really hate tom.	jag hatar verkligen tom.
he built a robot.	han byggde en robot.
tom is discontented.	tom är missnöjd.
the good news brought tears to her eyes.	de goda nyheterna fick henne att gråta.
these pine nuts are delicious, said the squirrel.	de här pinjenötterna är smaskiga, sa ekorren.
the hotel is run by his uncle.	hotellet drivs av hans farbror.
the old oak was almost higher than the house.	den gamla eken var nästan högre än huset.
stop tickling me!	sluta kittla mig!
there are five fish in my aquarium.	det finns fem fiskar i mitt akvarium.
get tom some food.	hämta lite mat åt tom.
i'm just trying to figure out why someone would do such a thing.	jag försöker komma på varför någon skulle få för sig att göra något sådant.
this is a law.	detta är en lag.
not bad.	inte dåligt.
tom'll recover.	tom återhämtar sig nog.
did you tell tom about what mary did?	talade du om för tom vad mary hade gjort?
the next song i'm going to sing is one i wrote just last night.	nästa sången jag ska sjunga är en som jag skrev igår natt.
it's rumored there are treasures hidden there.	det ryktas att det finns gömda skatter här.
i have tennis elbow.	jag har tennisarmbåge.
tom never came back.	tom kom aldrig tillbaka.
i finished my lunch quickly.	jag åt snabbt upp min lunch.
i like your scarf.	jag gillar din halsduk.
you're right, tom.	du har rätt, tom.
wait a minute, please!	vänta en minut, tack!
sami slipped and fell.	sami halkade och föll.
the stars were twinkling in the sky.	stjärnorna blinkade på himlen.
he'll know the secret sooner or later.	han kommer att få veta hemligheten förr eller senare.
how can one be so stupid?	hur kan man vara så dum?
ziri stayed on the mountain trail.	ziri höll sig till bergsstigen.
don't aim at me.	sikta inte på mig.
tom must've misunderstood mary.	tom måste ha missförstått mary.
forget her.	glöm henne.
don't you want to hear my side of the story?	vill ni inte höra min version?
measures were taken.	åtgärder vidtogs.
this town isn't lively.	den här staden är inte livlig.
the girl is right.	flickan har rätt.
we assumed tom was alone.	vi antog att tom var ensam.
what do you have?	vad har du?
where are your children now?	var är dina barn nu?
she is almost sixty years old.	hon är nästan sextio år gammal.
a screen divided the room into two.	en skärm delade rummet i två avdelningar.
i've heard that news that there has been a huge earthquake in awaji.	jag har hört nyheten om att det har varit en stor jordbävning i awaji.
i visited canada long ago.	för länge sedan besökte jag kanada.
the girl who sings there is my sister.	flickan som sjunger där är min syster.
i hate people who have feelings.	jag hatar människor med känslor.
i feel responsible for what happened.	jag känner att jag bär ansvaret för det som hände.
he showed me his stamp collection.	han visade mig sin frimärkssamling.
you're wasting your talent.	du kastar bort din talang.
i'm no good for you.	jag är inte bra för dig.
do you like my island?	gillar ni min ö?
what does this hat remind you of?	vad påminner denna hatt dig om?
tom looked at the clock.	tom tittade på klockan.
you're hiding something from me.	du döljer någonting för mig.
what did we do wrong?	vad gjorde vi fel?
i don't think he will come.	jag tror inte att han kommer.
we are having lunch.	vi äter lunch.
we were working late.	vi jobbade sent.
i think that tom knows why i'm here.	jag tror att tom vet varför jag är här.
i took it for granted that you would attend the meeting.	jag utgick ifrån att du skulle närvara på mötet.
i had a nosebleed today.	jag blödde näsblod idag.
tom is pouring a glass of milk.	tom häller upp ett glas mjölk.
we make bricks.	vi gör tegelstenar.
tom is asexual.	tom är asexuell.
he almost died.	han var nära att dö.
will you take care of the children while i'm out?	ser du efter barnen medan jag är ute?
he pretended to be sick.	han låtsades vara sjuk.
i'm spanish.	jag är spanjor.
it won't work.	det kommer inte att fungera.
we eat soup with a spoon.	vi äter soppa med en sked.
we are not jealous.	vi är inte avundsjuka.
she's a priest.	hon är en präst.
i'd not recommend it.	jag skulle inte rekommendera det.
i've believed in kylie minogue since june 12, 1998.	jag har trott på kylie minogue sedan 12 juni 1998.
tom drew the sword.	tom drog svärdet.
some students aren't going to come back next semester.	några studenter kommer inte att komma tillbaka nästa termin.
sami closed the attic door.	sami stängde vindsdörren.
they don't always obey their parents.	de lyssnar inte alltid på sina föräldrar.
winter is approaching.	vintern är i antågande.
tom sounds angry.	tom låter arg.
how're you feeling?	hur känner du dig?
i do worry about it.	jag oroar mig verkligen för det.
my favorite color's orange.	min favoritfärg är orange.
pesto is god's gift to the world.	pesto är guds gåva till folket.
he has no less than twelve children.	hon har inte mindre än tolv barn.
tom just wants to be happy.	tom vill bara vara lycklig.
we had a big fight.	vi hade ett stort bråk.
a puppet doesn't know that it is being manipulated.	en marionett vet inte om att den är manipulerad.
you've eaten enough.	du har ätit tillräckligt.
it's too much for me.	det är för mycket för mig.
may i put it down here?	kan jag ställa ned den här?
i need to pee.	jag måste kissa.
does everyone in sweden have blonde hair and blue eyes?	har alla i sverige blont hår och blå ögon?
we aren't doing anything.	vi gör ingenting.
whales are mammals.	valar är däggdjur.
i'll go get it now.	jag går och hämtar det nu.
it isn't barcoded.	den har ingen streckkod.
this is all that i know about him.	det är allt jag känner till om honom.
who's the best hunter?	vem är den bästa jägaren?
she drinks coffee.	hon dricker kaffe.
i forgot.	jag glömde.
do i have to pay you?	måste jag betala dig?
i just love that kind of stuff.	ja ba älskar såna saker.
i felt very relieved when i heard the news.	jag kände mig väldigt lättad när jag hörde nyheten.
my name's amanda.	jag heter amanda.
ziri didn't want to call the police.	ziri ville inte ringa polisen.
you should eat more fruit.	du borde äta mer frukt.
on crowded buses, young people should give their seats to old people.	på bussar bör ungdomar ge sina sittplatser till de äldre människorna.
the garden was full of beautiful yellow flowers.	trädgården var full av vackra gula blommor.
which floor do you live on?	vilken våning bor du på?
oh my god!	åh, herregud!
do you watch the news?	tittar du på nyheterna?
he said that he doesn't know.	han sa att han inte vet.
her dress was cheap.	hennes klänning var billig.
tom is lying on a large rock.	tom ligger på en stor sten.
you alone can do this.	bara du kan göra detta.
my daughter likes egg yolks.	min dotter tycker om äggulor.
i'm sorry, i don't think i'll be able to.	jag är ledsen, jag tror inte att jag kommer kunna.
when do we start?	när startar vi?
i want a lighter shade.	jag vill ha en ljusare nyans.
where have you hidden the christmas present?	var har du gömt julklappen?
i want to shave.	jag vill raka mig.
there must be a pattern.	det måste finnas ett mönster.
we're adaptable.	vi är flexibla.
twenty divided by two is ten.	tjugo delat med två är tio.
tom's waiting.	tom väntar.
the chinese don't know that i'm not human.	kineserna vet inte att jag inte är mänsklig.
don't you ever sweat?	svettas du aldrig?
tom's feet felt numb.	tom fötter kändes domnade.
tom has been married to mary for twenty years.	tom har varit gift med maria i tjugo år.
i threw it out.	jag slängde ut den.
the school is closed.	skolan är stängd.
i have no one to talk to.	jag har ingen att prata med.
i think that you're right.	jag tror att du har rätt.
you're not telling the truth.	du berättar inte sanningen.
tom turned off the radio.	tom stängde av radion.
i knew you'd miss me.	jag visste att du skulle sakna mig.
you look very bored.	du ser mycket uttråkad ut.
do i get a prize?	får jag ett pris?
he probably won't come.	han kommer nog inte.
fill up the tank.	tanka full tank.
give me a moment.	ge mig ett ögonblick.
if the address changes, please contact us.	om adressen ändras, var vänlig och kontakta oss.
it'll have to wait.	det måste vänta.
this plant needs shade.	den här plantan behöver skugga.
we must get back to the ship.	vi måste gå tillbaka till skeppet.
i hid under the table.	jag gömde mig under bordet.
no, not too much.	nej, inte för mycket.
may i feel these?	får jag känna på de här?
the world speaks english.	världen talar engelska.
tom sleeps with his socks on.	tom sover med strumporna på.
he listens.	han lyssnar.
at what time do you generally take a nap?	vid vilken tid tar du dig vanligen en tupplur?
she liked poetry and music.	hon gillade poesi och musik.
it's not a problem.	det är inte ett problem.
tom plays the saxophone.	tom spelar saxofon.
did you win the race?	vann du kapplöpningen?
they sewed.	de sydde.
i know that much.	så mycket vet jag.
we were nearly frozen to death.	vi höll på att frysa ihjäl.
what is your favorite color?	vilken är er favoritfärg?
should i take the picture with or without flash?	ska jag ta bilden med eller utan blixt?
there's a printer in the corridor.	det finns en skrivare i korridoren.
ziri is short of stature.	ziri är kort.
mars has a very thin atmosphere.	mars har en mycket tunn atmosfär.
he lacks motivation.	han saknar motivation.
it'll be ready soon.	den blir snart färdig.
he will return to japan some day.	han kommer att återvända till japan en dag.
in clear weather, we can see the island from here.	i klart väder kan vi se ön härifrån.
he has three cars.	han har tre bilar.
does everyone need to do that?	behöver alla göra det där?
tom doesn't work as hard as he used to.	tom arbetar inte lika hårt som han brukade.
she never talks bad about other people.	hon talar aldrig illa om andra människor.
i don't intend to stay long.	jag tänker inte stanna länge.
what causes allergies?	vad orsakar allergier?
you're sincere.	du är ärlig.
tom, i want to talk to mary.	tom, jag vill prata med mary.
what makes you think that tom has never been to australia?	varför får dig att tro att tom aldrig har varit i australien?
you have no idea, do you?	du har ingen aning, eller hur?
tom is frantic.	tom är alldeles ifrån sig.
i'd prefer not to speak french.	jag föredrar att inte prata franska.
i'm next.	jag är närmast i tur.
it's clear that he stole money from the safe.	det är tydligt att han stal pengar från kassaskåpet.
i know this girl.	jag känner den här tjejen.
it's going to rain.	det kommer att regna.
security was increased in the city.	säkerheten förhöjdes i staden.
i must finish my homework before dinner.	jag måste göra klart läxan innan middagen.
what do we owe tom?	vad är vi skyldiga tom?
hurray for italian women!	hurra för italienska kvinnor!
i thought we could talk.	jag trodde att vi kunde prata.
mary wanted to have babies right away, but tom said that he wanted to wait.	mary ville genast ha barn, men tom sade att han ville vänta.
do you have a boyfriend or a girlfriend? where did you meet them?	har du pojkvän eller flickvän? var träffade du personen i fråga?
can you make tom laugh?	kan ni få tom att skratta?
i know where he is.	jag vet var han är.
what are you laughing at?	vad skrattar du åt?
are you sure we have enough food?	är du säker på att vi har tillräckligt med mat?
tom needs a bigger size.	tom behöver en större storlek.
i didn't intend to hurt you.	jag avsåg inte att såra dig.
he is standing on the stage.	han står på scenen.
the cherry blossom is in april.	körsbären blomstrar i april.
we are coming.	vi kommer.
i like turtles.	jag tycker om sköldpaddor.
he looks like a woman.	han ser ut som en kvinna.
give it to him.	ge det till honom.
gazpacho is a cold tomato and vegetable soup from spain.	gazpacho är en kall tomat- och grönsakssoppa från spanien.
a moment's doubt can cost a pilot her life.	ett ögonblicks tvekan kan kosta en pilot livet.
this engine sometimes gives up the ghost.	den här motorn ger ibland upp andan.
what are your terms?	vilka är dina villkor?
you should read many books when you are young.	man bör läsa många böcker när man är ung.
go and have a look.	gå och ta en titt.
he tucked the handkerchief in his pocket.	han stoppade näsduken i sin ficka.
i do not sing.	jag sjunger inte.
do i need this?	behöver jag detta?
put on a sweater then.	ta på dig en tröja då.
don't mention it!	ingen orsak!
"tom, do you still love me?" "of course, i do."	"tom, älskar du mig fortfarande?" "självklart gör jag det."
you must be joking!	du måste skämta!
my friend is bilingual.	min vän är tvåspråkig.
can't we tell tom?	kan vi inte berätta för tom?
i'm not ready to die.	jag är inte beredd att dö.
they're not busy.	de är inte upptagna.
they'll fail.	de kommer att misslyckas.
why don't we pitch our tent here?	varför sätter vi inte upp vårt tält här?
i am very scared.	jag är mycket rädd.
don't come here.	kom inte hit.
i lost my purse on my way to school.	jag tappade bort min börs på väg till skolan.
we discussed what to do.	vi diskuterade vad vi skulle göra.
he kept it secret.	han hemlighöll det.
i'm almost sure of it.	jag är nästan säker på det.
farewell.	hej då.
our teacher is punctual for the classes.	vår lärare är punktlig till lektionerna.
do you like these earrings?	tycker du om de här örhängena?
take that box away!	ta bort lådan.
come quickly!	kom fort!
she bit into the apple.	hon bet i äpplet.
i am the best.	jag är bäst.
now i remember.	nu minns jag.
he demoted you.	han degraderade er.
the rain came down in rods.	regnet stod som spön i backen.
we need some light in here.	vi behöver lite ljus härinne.
why did you break up with her?	varför gjorde du slut med henne?
we're trying to get better.	vi försöker att bli bättre.
he shaved.	han rakade sig.
it's here.	här är den.
i need your car.	jag behöver din bil.
i love laurie's hair.	jag älskar lauries hår.
john doesn't give a shit about his clothes.	john bryr sig inte ett dugg om sina kläder.
do you like your job?	trivs du på ditt jobb?
ziri drove past rima's house.	ziri körde förbi rimas hus.
we learned russian instead of french.	vi lärde oss ryska istället för franska.
that's because, you see, i've known he isn't that sort of person from a long time back.	det beror på, förstår du, att jag har vetat sen länge att han inte är den sortens människa.
tom is definitely not in a joking mood today.	tom är definitivt inte på skämthumör idag.
the poor dog was literally torn apart by the lion.	den stackars hunden slets bokstavligen i stycken av lejonet.
i was there all alone at first, but then came still liisa and liisa's new friend.	jag var där ensam i början, men sedan kom liisa och liisas nya vän.
the school drains the pool once a month.	skolan tömmer poolen en gång i månaden.
i'd like some white wine, please.	jag skulle vilja ha lite vitt vin, tack.
can we keep it?	får vi behålla den?
you could count to ten when you were two years old.	du kunde räkna till tio redan då du var två år gammal.
on the floor were two pairs of shoes.	på golvet stod två par skor.
is his father a teacher?	är hans far lärare?
in the beginning, god created the heavens and the earth.	i begynnelsen skapade gud himmel och jord.
watch.	titta.
how far did it go?	hur långt for den?
that explains why the door is open.	det förklarar varför dörren är öppen.
tom shook mary's hand.	tom skakade marys hand.
tom thinks he's a knight.	tom tror han är en riddare.
what is your favorite action movie?	vilken är din favoritactionrulle?
she loves attention.	hon älskar uppmärksamhet.
where am i?	var är jag?
i take dance lessons.	jag tar danslektioner.
i can't remember the lyrics.	jag minns inte texten.
the night is dark.	natten är mörk.
with whom did you talk?	vem talade du med?
i'm not stopping you.	jag tänker inte hindra dig.
i'm awfully tired.	jag är hemskt trött.
i slept twelve hours yesterday.	jag sov tolv timmar i går.
i am.	jag är.
he is always speaking ill of his wife.	han talar jämt illa om sin fru.
sami rewarded layla.	sami belönade layla.
i am not too tired.	jag är inte alltför trött.
can tatoeba contribute to the saving of endangered languages?	kan tatoeba bidra till att rädda utrotningshotade språk?
sami was in heaven.	sami var i himlen.
it's been so long.	det var så länge sedan.
it's been easier than i thought.	det har gått lättare än jag trodde.
how do i do this?	hur ska jag göra det här?
do you like my island?	gillar du min ö?
you come from sweden.	du kommer från sverige.
that was a slight miscalculation.	det var en liten missberäkning.
i hate to iron.	jag avskyr att stryka.
i'm a social worker.	jag är socialvårdare.
can i cancel this ticket?	kan jag avboka den här biljetten?
did you wait long?	har du väntat länge?
i'm reading this newspaper.	jag läser den här tidningen.
of course not!	självklart inte!
i have a headache again.	mitt huvud gör ont igen.
he had a radio.	han hade en radio.
my dog usually stays outside during the day.	min hund brukar vara utomhus under dagen.
i live in tokyo.	jag bor i tokyo.
i could use a hand.	jag kunde behöva lite hjälp.
are you a priest?	är du präst?
it's insanely hot today.	det är galet varmt i dag.
even tom thinks so.	till och med tom tycker det.
your shoes are here.	era skor är här.
i'm glad you told me.	jag är glad att du berättade för mig.
i was told to stay on the ship.	de sa åt mig att stanna på skeppet.
it's his weak spot.	det är hans svaga punkt.
we're meeting at the station at nine o'clock.	vi ska mötas på stationen klockan nio.
where do i find that?	var hittar jag det?
you're in better shape than i am.	du är i bättre form än jag.
you know i love you both.	du vet att jag älskar er båda.
give me a minute.	vänta en stund.
almost all dogs are alive.	nästan alla hundar lever.
it's a great song.	det är en jättebra sång.
do you think we'll make it to the airport in time, paul?	tror du vi hinner i tid till flygplatsen, paul?
she walked towards us with a smile on her face.	hon kom emot oss med ett leende på läpparna.
this is tom's school.	det här är toms skola.
you need to have quick reactions to play these computer games.	du behöver ha snabba reaktioner för att spela dessa datorspel.
the ice on the lake is too thin to bear your weight.	isen över ån är för tunn för att kunna bära din vikt.
show me another example.	visa mig ett annat exempel.
has anybody seen our cat?	har någon sett vår katt?
he had the kindness to show me the way.	han var vänlig nog att visa mig vägen.
you didn't seem to understand what tom was saying.	ni verkade inte förstå vad tom sa.
i'm not in the mood right now.	jag är inte på humör just nu.
i kissed her on the forehead.	jag kysste henne på pannan.
what time does the shuttle bus leave for the airport?	vilken tid avgår flygbussen mot flygplatsen?
we need to get this truck unloaded before it starts raining.	vi måste lasta ur den här lastbilen innan det börjar regna.
you ran into him earlier, didn't you?	du stötte på honom tidigare, eller hur?
this movie is very popular among young people.	den här filmen är väldigt populär bland unga.
mary said she's not ready to go.	mary sa att hon inte är redo att gå.
solve the problem.	lös problemet.
you can't go out there.	du kan inte gå ut dit.
understood.	uppfattat.
i let tom win.	jag lät tom vinna.
i made this myself.	jag gjorde den här själv.
it was cold that day, and moreover it began to rain.	det var kallt hela den dagen, och senare började det regna.
they don't eat meat.	de äter inte kött.
is there a bank near the station?	finns det någon bank nära stationen?
are you non-binary?	är du icke-binär?
tom took off his gas mask.	tom tog av sin gasmask.
tom knocked him down.	tom slog ner honom.
you gotta agree that he looks stylish in that costume.	håll med om att han ser stilig ut i den där kostymen.
kate was lying with her eyes open.	kate låg ner med öppna ögon.
tom knew i was coming.	tom visste att jag var på väg.
the lake was frozen, so we walked across the ice.	sjön hade frusit till, så vi gick över isen.
as you know, life is comparable to a voyage.	som du vet är livet som en resa.
is it a horse?	är det en häst?
i think you should take it all with a pinch of salt.	jag tycker att du ska ta det hela med en nypa salt.
you must repay your debts.	du måste återbetala dina skulder.
am i imagining this?	inbillar jag mig det här?
this isn't about you.	det här handlar inte om er.
the island is a paradise for children.	ön är ett paradis för barn.
i misunderstood.	jag missförstod.
don't sit down!	sätt dig inte!
did you see my son?	såg du min son?
i doubt that tom is happy.	jag tvivlar på att tom är glad.
you must get rid of that bad habit.	du måste bli kvitt den där ovanan.
i know exactly where tom is.	jag vet exakt var tom befinner sig.
